id,date,price,property_id,type,propertytype,street,streetnumber,suburb,flatnumber,postcode,state,bedrooms,bathrooms,carspaces,latitude,longitude,property_id-2,geom,area,streettype
890887,25-05-2019,511000,4947372,sold,House,DOVER,4,ALBANY CREEK,,4035,QLD,3,1,2,-27.35570388,152.9748745,4947372,0101000020E61000001960172C321F63400AA9D3680F5B3BC0,777,CT
890888,14-06-2003,178000,4947372,sold,House,DOVER,4,ALBANY CREEK,,4035,QLD,3,1,2,-27.35570388,152.9748745,4947372,0101000020E61000001960172C321F63400AA9D3680F5B3BC0,777,CT
890889,21-02-2022,856000,4947373,sold,House,DOVER,6,ALBANY CREEK,,4035,QLD,3,2,2,-27.35574334,152.9750732,4947373,0101000020E610000009ADA0CC331F6340DF11DBFE115B3BC0,960,CT
890890,17-12-2014,495000,4947373,sold,House,DOVER,6,ALBANY CREEK,,4035,QLD,3,2,2,-27.35574334,152.9750732,4947373,0101000020E610000009ADA0CC331F6340DF11DBFE115B3BC0,960,CT
890891,19-02-2014,490000,4947373,sold,House,DOVER,6,ALBANY CREEK,,4035,QLD,3,2,2,-27.35574334,152.9750732,4947373,0101000020E610000009ADA0CC331F6340DF11DBFE115B3BC0,960,CT
890892,06-11-2019,580000,4947376,sold,House,FLINDERS,36,ALBANY CREEK,,4035,QLD,4,2,5,-27.35501911,152.9641627,4947376,0101000020E61000002E97A66BDA1E6340B0E74A88E25A3BC0,1031,WAY
890893,13-08-2002,277000,4947376,sold,House,FLINDERS,36,ALBANY CREEK,,4035,QLD,4,2,5,-27.35501911,152.9641627,4947376,0101000020E61000002E97A66BDA1E6340B0E74A88E25A3BC0,1031,WAY
890894,26-05-2008,557000,4947377,sold,House,GORDONBROOK,3,ALBANY CREEK,,4035,QLD,5,3,2,-27.35765075,152.9537746,4947377,0101000020E61000002D584F52851E6340CFA3E2FF8E5B3BC0,891,CL
890895,04-08-2023,1075000,4947378,sold,House,GORDONBROOK,4,ALBANY CREEK,,4035,QLD,5,3,2,-27.35783269,152.9533144,4947378,0101000020E61000002DB8388D811E63405DFD54EC9A5B3BC0,1004,CL
890896,09-09-2003,430000,4947378,sold,House,GORDONBROOK,4,ALBANY CREEK,,4035,QLD,5,3,2,-27.35783269,152.9533144,4947378,0101000020E61000002DB8388D811E63405DFD54EC9A5B3BC0,1004,CL
890897,15-12-2000,278000,4947378,sold,House,GORDONBROOK,4,ALBANY CREEK,,4035,QLD,5,3,2,-27.35783269,152.9533144,4947378,0101000020E61000002DB8388D811E63405DFD54EC9A5B3BC0,1004,CL
890898,14-03-1999,237000,4947378,sold,House,GORDONBROOK,4,ALBANY CREEK,,4035,QLD,5,3,2,-27.35783269,152.9533144,4947378,0101000020E61000002DB8388D811E63405DFD54EC9A5B3BC0,1004,CL
890899,14-04-2013,550000,4947380,sold,House,GORDONBROOK,6,ALBANY CREEK,,4035,QLD,4,3,2,-27.35798698,152.9534787,4947380,0101000020E610000049C4ADE5821E63406A7EE308A55B3BC0,942,CL
890900,24-03-2011,540000,4947380,sold,House,GORDONBROOK,6,ALBANY CREEK,,4035,QLD,4,3,2,-27.35798698,152.9534787,4947380,0101000020E610000049C4ADE5821E63406A7EE308A55B3BC0,942,CL
890901,28-05-2008,542000,4947380,sold,House,GORDONBROOK,6,ALBANY CREEK,,4035,QLD,4,3,2,-27.35798698,152.9534787,4947380,0101000020E610000049C4ADE5821E63406A7EE308A55B3BC0,942,CL
890902,13-01-2015,645000,4947381,sold,House,GORDONBROOK,7,ALBANY CREEK,,4035,QLD,4,2,2,-27.35782117,152.9542675,4947381,0101000020E6100000652CE45B891E63406AF70E2B9A5B3BC0,1023,CL
890903,12-11-2001,277000,4947381,sold,House,GORDONBROOK,7,ALBANY CREEK,,4035,QLD,4,2,2,-27.35782117,152.9542675,4947381,0101000020E6100000652CE45B891E63406AF70E2B9A5B3BC0,1023,CL
890904,15-09-2017,460000,4947386,sold,House,CHICKOWEE,8,ALBANY CREEK,,4035,QLD,3,1,1,-27.34816983,152.9618291,4947386,0101000020E6100000235EC74DC71E6340CB4D71A821593BC0,837,ST
890905,08-09-2010,392000,4947387,sold,House,CHISHOLM,10,ALBANY CREEK,,4035,QLD,4,2,2,-27.35601156,152.9631697,4947387,0101000020E6100000F13F4349D21E6340AC32D792235B3BC0,1019,CT
890906,26-03-2006,355000,4947387,sold,House,CHISHOLM,10,ALBANY CREEK,,4035,QLD,4,2,2,-27.35601156,152.9631697,4947387,0101000020E6100000F13F4349D21E6340AC32D792235B3BC0,1019,CT
890907,26-02-2019,530250,4947388,sold,House,DOWNEY,3,ALBANY CREEK,,4035,QLD,3,1,4,-27.36508965,152.9688779,4947388,0101000020E6100000FBAE290C011F6340ACDBEA83765D3BC0,942,CT
890908,30-07-2003,279000,4947388,sold,House,DOWNEY,3,ALBANY CREEK,,4035,QLD,3,1,4,-27.36508965,152.9688779,4947388,0101000020E6100000FBAE290C011F6340ACDBEA83765D3BC0,942,CT
890909,24-08-2019,625000,4947389,sold,House,DOWNEY,5,ALBANY CREEK,,4035,QLD,5,2,2,-27.36506461,152.9686417,4947389,0101000020E61000002CC6D01CFF1E634083E0D0DF745D3BC0,944,CT
890910,30-07-1999,210000,4947389,sold,House,DOWNEY,5,ALBANY CREEK,,4035,QLD,5,2,2,-27.36506461,152.9686417,4947389,0101000020E61000002CC6D01CFF1E634083E0D0DF745D3BC0,944,CT
1083393,03-08-2003,133000,4947391,sold,House,FINSCHHAFEN,6,AITKENVALE,,4814,QLD,3,1,2,-19.2984118,146.7739083,4947391,0101000020E610000059FB3BDBC358624091BD39B7644C33C0,697,ST
1083394,08-12-2023,347000,4947392,sold,House,FINSCHHAFEN,7,AITKENVALE,,4814,QLD,4,1,3,-19.29794144,146.7737684,4947392,0101000020E6100000251CDDB5C258624053ECE4E3454C33C0,685,ST
1083395,20-10-2007,308000,4947392,sold,House,FINSCHHAFEN,7,AITKENVALE,,4814,QLD,4,1,3,-19.29794144,146.7737684,4947392,0101000020E6100000251CDDB5C258624053ECE4E3454C33C0,685,ST
1083396,10-07-2004,185000,4947392,sold,House,FINSCHHAFEN,7,AITKENVALE,,4814,QLD,4,1,3,-19.29794144,146.7737684,4947392,0101000020E6100000251CDDB5C258624053ECE4E3454C33C0,685,ST
1083397,16-10-2019,206500,4947394,sold,House,PETUNIA,23,AITKENVALE,,4814,QLD,3,2,2,-19.2938437,146.7726654,4947394,0101000020E61000001420AFACB9586240B9A23957394B33C0,685,ST
1083398,01-04-2004,245500,4947394,sold,House,PETUNIA,23,AITKENVALE,,4814,QLD,3,2,2,-19.2938437,146.7726654,4947394,0101000020E61000001420AFACB9586240B9A23957394B33C0,685,ST
1083399,23-11-2003,155000,4947394,sold,House,PETUNIA,23,AITKENVALE,,4814,QLD,3,2,2,-19.2938437,146.7726654,4947394,0101000020E61000001420AFACB9586240B9A23957394B33C0,685,ST
1083400,05-04-2003,125000,4947394,sold,House,PETUNIA,23,AITKENVALE,,4814,QLD,3,2,2,-19.2938437,146.7726654,4947394,0101000020E61000001420AFACB9586240B9A23957394B33C0,685,ST
1083401,17-04-2011,335000,4947395,sold,House,PUGH,50,AITKENVALE,,4814,QLD,3,1,2,-19.30396877,146.7670676,4947395,0101000020E610000055223FD18B586240C527B6E5D04D33C0,1142,ST
